Movie,Aggregate-Rating
Dawg Fight,4.7
Dawson City: Frozen Time,6.8
Day One,7.0
Dead Rising: Endgame,3.4
Deadly Ex,7.8
Deep Dark,6.8
Deep Web,6.5
Dementia,6.0
Demolition,6.5
Demonic,5.8
Departure,6.9
Desecrated,7.0
Desierto,6.1
Devil's Domain,4.1
Dial a Prayer,7.1
Dickshark,7.2
Dirty 30,5.4
Dirty Weekend,5.6
Doctor Strange,5.2
Dog Eat Dog,6.3
Don Verdean,6.0
Don't Hang Up,6.3
Don't Knock Twice,5.3
Don't Think Twice,7.1
Doomed! The Untold Story of Roger Corman's The Fantastic Four,6.9
Dope,6.4
Drag Becomes Him,6.3
Dreamcatcher,6.6
Drown,4.6
Drunk Stoned Brilliant Dead: The Story of the National Lampoon,6.9
Drunk Wedding,6.8
Dylan Moran: Off the Hook,6.0
EMO the Musical,7.2
Eddie the Eagle,7.3
Eden Lodge,6.2
Eight,6.1
Eisenstein in Guanajuato,6.3
Element,6.0
Ellis,6.5
Eloise,7.0
Embers,7.2
Embrace,7.8
Emma's Chance,7.6
Endgame,7.1
Entertainment,6.8
Entourage,6.8
Equals,6.6
Estranged,6.4
Even Lambs Have Teeth,5.8
Everest,6.6
Every Thing Will Be Fine,3.0
Everything Is Copy,6.4
Excess Flesh,6.5
Exeter,6.2
Extinction,6.4
Extraction,6.6
Eye in the Sky,5.9
FML,5.7
Face 2 Face,6.4
Fair Haven,8.1
Faith of Our Fathers,8.3
Fantastic Four,8.3
Fashionista,6.7
Fathers and Daughters,7.0
Fender Bender,6.0
Fifty,7.1
Fifty Shades of Black,6.4
Fifty Shades of Grey,7.0
Final Girl,5.2
Fire City: End of Days,6.8
Fire Twister,5.9
Flatbush Luck,7.1
Flipped,6.9
Focus,6.8
Followed,7.0
For Here or to Go?,5.4
Forever,7.0
Forever Young,6.5
Forsaken,7.0
Found Footage 3D,5.7
Frank & Lola,7.0
Frank and Cindy,5.6
Frankenstein,6.5
Frankenstein vs. The Mummy,6.2
Freaks of Nature,4.9
Free State of Jones,8.0
Freeheld,7.1
Freeway: Crack in the System,6.0
From Parts Unknown,5.8
From a House on Willow Street,5.2
Froning: The Fittest Man In History,6.9
Front Cover,6.4
Full Out,7.5
Furious 7,4.1
Galloping Mind,6.0
Gascoigne,6.7
George Best: All by Himself,8.7
Get Hard,5.7
Ghastlies,6.6
Ghost Shark 2: Urban Jaws,6.6
Ghostbusters,6.3
Ghosthunters,6.4
Ghoul,6.1
Girl Asleep,6.9
Girl Night Stand,5.0
Girl on the Edge,7.1
Given,6.6
God's Not Dead 2,5.3
Golden Kingdom,6.6
Golden Shoes,6.4
Goldstone,7.7
Good Tidings,8.5
Goosebumps,7.3
Green Is Gold,6.9
Gridlocked,6.8
Hacker's Game,5.9
Handsome Devil,6.5
Hansel Vs. Gretel,5.8
Harbinger Down,6.4
Hardcore Henry,6.8
Hatton Garden: The Heist,5.6
He Named Me Malala,7.4
He Never Died,4.7
Heart of a Dog,6.8
Hector,7.1
Heist,6.5
Helix,7.1
Hell & Back,4.5
Hellions,5.8
Here Alone,6.5
Heroes of Dirt,6.9
Hidden Figures,7.0
Hide the Monster,5.0
High Strung,7.6
High-Rise,7.0
Hillary's America: The Secret History of the Democratic Party,7.7
Hitman: Agent 47,6.7
Holding the Man,6.5
Home,6.6
Home Sweet Hell,4.9
Hooligan Legacy,4.6
Hot Girls Wanted,6.6
Hot Pursuit,7.0
Hot Tub Time Machine 2,6.5
Hotel Transylvania 2,7.0
House of Z,6.9
How Heavy This Hammer,6.0
How to Be Single,6.8
How to Change the World,6.9
How to Plan an Orgy in a Small Town,7.1
Howl,7.1
Hulk: Where Monsters Dwell,6.4
Hunt for the Wilderpeople,7.5
Hush,6.5
HyperNormalisation,7.2
I Am Belfast,7.3
I Am Chris Farley,6.8
I Am Not Your Negro,6.9
I Am the Pretty Thing That Lives in the House,7.3
I Believe in Miracles,8.8
I Smile Back,8.2
I'll Be Home for Christmas,7.0
I'll See You in My Dreams,8.2
I'm Not Ashamed,5.7
I-Lived,6.8
ID2: Shadwell Army,6.0
Imperium,6.6
In a Valley of Violence,4.1
In the Heart of the Sea,6.4
In the Name of Ben-Hur,6.8
Infini,6.2
Inner Workings,7.1
Inside,6.6
Inside Out,6.8
Insidious: Chapter 3,5.9
Insurgent,6.5
Into the Forest,6.0
Into the Grizzly Maze,6.2
Into the Inferno,6.8
Isolation,5.5
It Had to Be You,6.9
Ithaca,6.4
Jack of the Red Hearts,6.9
James White,6.7
Jamie,7.3
Jane Got a Gun,5.4
Janoskians: Untold and Untrue,8.1
Jem and the Holograms,6.7
Jenny's Wedding,6.5
Jessica Darling's It List,8.0
Jim Jefferies: Freedumb,7.4
Jim: The James Foley Story,6.1
Joe Rogan: Triggered,6.0
Joshy,6.5
Jupiter Ascending,6.6
Jurassic World,7.0
Just Jim,7.2
Kaleidoscope,6.7
Kate Plays Christine,7.4
Kevin Hart: What Now?,6.8
Kidnapping Mr. Heineken,7.1
Kiki,7.2
Kill Game,4.0
Kill Kane,3.9
Kill Ratio,4.1
Killer Piñata,3.2
Killing Ground,3.5
Kindergarten Cop 2,6.5
King Cobra,6.6
King Jack,6.4
King of the Belgians,7.6
King of the Dancehall,6.9
Knight of Cups,6.5
Knock Knock,6.3
Kobe Bryant's Muse,6.7
Krampus,6.7
Krampus: The Devil Returns,3.9
Kung Fury,4.9
L.A. Slasher,3.7
LBJ,6.7
LEGO DC Comics Super Heroes: Justice League - Attack of the Legion of Doom!,8.8
La Obra Del Siglo,6.0
Laid in America,6.2
Landmine Goes Click,6.2
Larry Gaye: Renegade Male Flight Attendant,5.8
Last Knights,7.1
Lazer Team,7.2
Legend,6.5
Lemonade,7.0
Let Her Out,7.4
Let's Be Evil,3.5
Lethal Seduction,6.7
Liberation Day,6.5
Life,6.6
Lights Out,6.2
Lila & Eve,6.6
Lion,6.2
Little Boxes,6.4
Little Boy,6.6
Little Dead Rotting Hood,4.1
Little Men,6.8
Lo and Behold: Reveries of the Connected World,6.3
London Road,6.6
Lost Boy,5.5
Lost in France,5.5
Louder Than Bombs,4.5
Louis C.K.: Live at The Comedy Store,7.4
Love and Faith,9.3
Love the Coopers,8.8
Loving,8.4
Lowriders,6.8
Lukamari,6.5
Lumberjack Man,6.0
Macbeth,6.8
Mad Max: Fury Road,3.6
Madtown,6.5
Maggie,7.2
Maggie's Plan,6.9
Magic Mike XXL,7.1
Man Down,6.6
Man Up,6.8
Man Vs.,6.5
Manchester by the Sea,6.3
Manhattan Romance,8.7
Marathon: The Patriots Day Bombing,4.0
Martyrs,5.8
Maudie,7.8
Max,6.7
Me and Earl and the Dying Girl,4.6
Me and My Mates vs. The Zombie Apocalypse,6.3
Meadowland,6.8
Mean Dreams,7.6
Mechanic: Resurrection,6.2
Meet Me in Venice,6.6
Memoria,6.8
Mercy,7.7
Michael Che Matters,7.3
Michael Moore in TrumpLand,7.0
Middle School: The Worst Years of My Life,4.4
Miles Ahead,7.3
Mine,7.3
Minions,7.0
Minutes Past Midnight,4.9
Misconduct,6.0
Misery Loves Comedy,8.1
Miss India America,6.7
Miss Saigon : 25th Anniversary Performance,5.0
Mission: Impossible - Rogue Nation,6.6
Mississippi Grind,7.1
Mistress America,6.7
Moana,7.1
Mojave,6.4
Momentum,6.7
Money,6.3
Monkey Kingdom,6.1
Monkey Up,7.0
Monolith,6.4
Moonlight,7.8
Moonwalkers,6.6
Morris from America,6.7
Most Likely to Die,3.7
Mostly Sunny,8.8
Mother's Day,6.7
Motley's Law,6.0
Mr. Holmes,6.6
Mr. Right,7.0
Muck,6.2
Mum's List,6.4
My Bakery in Brooklyn,6.7
My Big Fat Greek Wedding 2,6.7
My Brother's Shoes,5.4
My Entire High School Sinking Into the Sea,6.8
My Scientology Movie,6.4
Mythica: The Darkspore,6.2
Mythica: The Iron Crown,6.5
Mythica: The Necromancer,6.2
Nasty Baby,4.1
Natural Born Pranksters,7.9
Natural Selection,7.7
Nerdland,7.4
Nerve,6.7
Never Back Down: No Surrender,4.8
Never Let Go,6.8
Newcomer,7.2
Night of the Living Dead: Darkest Dawn,2.7
Night of the Living Deb,7.2
Nikki Glaser: Perfect,8.3
Nina,6.6
Nina Forever,6.2
Nintendo Quest,6.7
No Escape,6.5
No Way Jose,6.4
Not Alone,6.9
Notes on Blindness,7.1
Nothing Left Unsaid: Gloria Vanderbilt & Anderson Cooper,7.7
Nowhere to Hide,5.6
Nuts!,6.7
Observance,5.9
Occupants,6.3
Oddball,7.2
Off the Rails,6.0
Old 37,6.3
One & Two,6.9
One More Time,6.3
Only the Dead,3.7
Ooops! Noah Is Gone...,7.3
Operator,6.5
Ouija 3: The Charlie Charlie Challenge,6.3
Our Brand Is Crisis,4.1
Our Father,5.2
Outlaws and Angels,6.5
Oxenfree,7.7
Ozark Sharks,6.8
Pan,6.7
Papa Hemingway in Cuba,7.1
Paper Towns,6.7
Parallels,6.5
Paramedics,6.8
Paranormal Activity: The Ghost Dimension,4.8
Partisan,6.1
Passengers,6.8
Paternity Leave,6.6
Paterson,6.4
Patient Seven,6.6
Paul Blart: Mall Cop 2,6.5
"People, Places, Things",7.0
Personal Shopper,6.4
Pet,7.5
Phantasm: Ravager,6.7
Piper,7.9
Pitch Perfect 2,8.7
Pitchfork,6.6
Pixels,6.4
Pixies,6.5
Plague,5.7
Plan 9,6.1
Pod,6.8
Point Break,6.8
Poltergeist,6.4
Poltergeist Activity,5.6
Poshter Girl,7.1
Predator: Dark Ages,7.9
Pressure,5.7
Prevenge,5.6
Priceless,6.8
Pride and Prejudice and Zombies,5.8
Quarries,6.0
Queen Crab,6.3
Queen Mimi,7.6
Queen of the Desert,7.0
RWD,6.2
Race,6.4
Racing Extinction,6.9
Raiders!: The Story of the Greatest Fan Film Ever Made,9.1
Rainbow Time,7.2
Raising the Bar,8.3
Range 15,6.8
Rat Film,7.1
Ratter,6.1
Rebirth,6.2
Recovery,6.5
Red,6.6
Red Christmas,6.8
Red Dog: True Blue,8.4
Reel,6.9
Regression,6.0
Remainder,7.0
Reparation,7.1
Requiem for the American Dream,7.3
Results,6.7
Retribution,6.2
Return to Sender,6.2
Richard the Lionheart: Rebellion,6.2
Ricki and the Flash,7.0
Riley's First Date?,7.8
Rise of the Footsoldier: Part II,6.3
Road Games,7.1
Road Hard,7.0
Robert,6.9
Robo-Dog,6.9
Rock the Kasbah,6.5
Rogue One: A Star Wars Story,4.4
Room,6.6
Rosenwald,6.5
Run All Night,6.7
Ryde,6.4
Safelight,7.6
Sam,7.3
Sam Was Here,6.7
San Andreas,6.5
Satanic,5.2
Scouts Guide to the Zombie Apocalypse,6.8
Secret in Their Eyes,6.4
Seduced,6.1
Seoul Searching,7.3
Shark Exorcist,6.3
Shark Lake,5.6
Sharkenstein,7.3
Shaun the Sheep Movie,6.9
She Kills,4.1
Sicario,6.5
Silent Nights,7.2
Silicon Cowboys,7.8
Sing,6.8
Sing Street,7.5
Singing with Angels,7.5
Sinister 2,3.6
Siren,6.9
Sister Cities,6.9
Sisters,6.1
Sky,6.2
Slow West,6.9
Smosh: The Movie,6.7
Sniper: Ghost Shooter,5.3
Sniper: Special Ops,7.6
Soaked in Bleach,6.2
Soft Lad,6.7
Solace,7.0
Solitary,6.6
Sorrow,5.1
Southbound,6.2
Southpaw,6.5
Spare Parts,7.6
Spectre,6.0
Spin Out,6.6
Spirit Unforgettable,7.4
Split,6.8
Spooks: The Greater Good,8.7
Spotlight,6.0
Stagecoach: The Texas Jack Story,6.4
Standoff,6.4
Star Wars: The Force Awakens,4.1
State Zero,5.9
Staten Island Summer,6.6
Stealing Cars,4.6
Steel,6.6
Steve Jobs,7.1
Steve-O: Guilty as Charged,6.4
Stonewall,6.0
Strange Blood,5.7
Strange Magic,6.5
Strangerland,6.1
Stretch and Bobbito: Radio That Changed Lives,6.0
Stung,6.0
Subconscious,7.0
Submerged,6.1
Sugar Mountain,6.3
Suicide Squad,4.3
Summer Camp,6.9
Sunset Song,7.2
Superfast!,5.9
Survivor,6.8
Suspension,6.4
Sustainable,6.5
Swallows and Amazons,7.4
Swiss Army Man,7.1
Sword of Vengeance,5.9
Swung,6.7
Synchronicity,6.8
Tab Hunter Confidential,6.6
Tales of Halloween,6.4
Tall Men,6.1
Tangerine,7.3
Ted 2,6.9
Tell Tale Lies,2.6
Terminator Genisys,6.7
Terminus,6.1
Terrordactyl,6.2
The Abandoned,5.1
The Abolitionists,6.8
The Adderall Diaries,7.2
The Alchemist Cookbook,7.4
The Amityville Terror,5.1
The Assignment,7.2
The Atticus Institute,5.8
The Automatic Hate,5.0
The BFG,6.9
The Belko Experiment,5.9
The Benefactor,5.4
The Big Short,6.1
The Black Panthers: Vanguard of the Revolution,6.4
The Blackcoat's Daughter,5.9
The Book of Love,9.0
The Boy,6.6
The Boy Next Door,6.5
The Bronze,6.2
The Burning Dead,3.6
The C Word,6.9
The Carrier,6.9
The Challenger,6.2
The Cheerleader Murders,4.7
The Childhood of a Leader,8.1
The Chosen,7.1
The Cleanse,6.2
The Cokeville Miracle,8.8
The Coming War on China,4.0
The Condemned 2,4.8
The Culling,5.7
The Curse of Downers Grove,3.2
The Curse of Robert the Doll,3.8
The D Train,6.5
The DUFF,6.7
The Danish Girl,6.5
The Dark Stranger,6.2
The Daughter,6.3
The Dead Room,4.1
"The Death of ""Superman Lives"": What Happened?",4.2
The Demolisher,6.4
The Devil's Candy,4.9
The Diabolical,6.0
The Diary of a Teenage Girl,6.7
The Do-Over,6.7
The Dream Children,6.6
The Dressmaker,6.8
The Drowning,5.0
The Eichmann Show,6.0
The Eleven O'Clock,9.4
The End of the Tour,7.1
The Escape,7.1
The Evil That Men Do,3.4
The Evil in Us,4.6
The Exception,6.8
The Eyes of My Mother,5.7
The Fall of the Krays,6.4
The Family Fang,6.6
The Final Girls,7.1
The Forbidden Room,6.4
The Fourth Phase,6.5
The Free World,7.8
The Gallows,6.0
The Ghoul,6.3
The Gift,8.3
The Girl King,6.7
The Girl on the Train,6.8
The Good Dinosaur,8.0
The Great Gilly Hopkins,8.9
The Gunman,5.9
The Hallow,6.2
The Hateful Eight,4.9
The Hexecutioners,6.1
The Hoarder,5.4
The Hollars,7.1
The House on Pine Street,4.2
The Hunger Games: Mockingjay - Part 2,5.2
The Hunting Ground,5.4
The Huntsman: Winter's War,4.3
The Infiltrator,6.9
The Inhabitants,6.2
The Intern,7.2
The Intervention,6.8
The Intruders,6.6
The Invitation,6.3
The Journey,7.6
The Killer Robots! Crash and Burn,3.3
The Land,6.4
The Last Descent,5.9
The Last Heist,6.4
The Last House on Cemetery Lane,6.8
The Last Rescue,8.0
The Last Witch Hunter,5.2
The Lazarus Effect,5.6
The Legend of Barney Thomson,7.2
The Lesson,6.8
The Levelling,7.0
The Lighthouse,6.9
The Little Prince,7.3
The Lobster,6.7
The Longest Ride,7.4
The Lost City of Z,5.8
The Lovers,7.9
The Man Who Knew Infinity,7.3
The Man from U.N.C.L.E.,7.2
The Man with the Iron Fists 2,5.3
The Martian,6.9
The Mask You Live In,6.6
The Messenger,6.6
The Midnight Man,6.4
The Night Before,5.8
The Night Crew,6.6
The Northlander,5.2
The Other Side of the Door,7.0
The Ottoman Lieutenant,6.8
The Overnight,5.5
The Pass,6.7
The Peanuts Movie,6.5
The Perfect Daughter,8.6
The Perfect Guy,8.3
The Perfect Match,8.3
The Phoenix Incident,6.7
The Phoenix Project,6.0
The Plug,6.7
The Preppie Connection,6.9
The Primary Instinct,7.4
The Program,6.4
The Promise,7.4
The Queen of Ireland,7.2
The Real Miyagi,6.8
The Red Maple Leaf,9.6
The Rendezvous,6.8
The Resurrection of Gavin Stone,7.1
The Revenant,6.4
The Rezort,6.5
The Ridiculous 6,5.5
The Rise of the Krays,5.6
The Russian Woodpecker,5.9
The Sand,6.4
The Science of Interstellar,7.5
The Sea of Trees,6.0
The Search for Freedom,9.3
The Seasons in Quincy: Four Portraits of John Berger,6.0
The Second Best Exotic Marigold Hotel,8.8
The Shallows,6.6
The Sighting,6.4
The SpongeBob Movie: Sponge Out of Water,6.4
The Squeeze,6.7
The Stanford Prison Experiment,4.6
The Stepsister,7.3
The Sublet,6.4
The Survivalist,6.5
The Sweet Life,8.5
The Thinning,6.4
The Throwaways,6.3
The Timber,6.6
The Transfiguration,6.3
The Transporter Refueled,6.3
The True Cost,8.0
The Trust,7.4
The Unseen,6.6
The Vatican Tapes,5.7
The Veil,7.1
The Violators,5.0
The Visit,7.1
The Walk,5.8
The Walking Deceased,6.4
The Wannabe,5.8
The Watchmaker's Apprentice,6.0
The Wedding Party,8.0
The Wedding Ringer,6.8
The Whole Truth,7.3
The Witching,4.7
The Witness,6.7
The Woman in Black 2: Angel of Death,4.0
The World Made Straight,7.0
The Young Messiah,7.1
The Young Offenders,6.2
Theatre of Life,6.7
This Changes Everything,6.5
Tickling Giants,7.3
Tiger House,6.6
To Write Love on Her Arms,8.8
ToY,6.5
Tomorrowland,6.7
Toni Braxton: Unbreak My Heart,7.0
Too Late,6.9
Tooken,6.6
Tower,6.3
Toxic Apocalypse,8.4
Toxin,6.7
Tracktown,7.0
Traded,6.4
Traders,6.4
Trafficker,6.4
Trainwreck,7.0
Tramps,7.5
Transpecos,6.5
Trash Fire,6.1
True Story,8.2
Trumbo,6.8
Truth,7.0
Tumbledown,7.1
Turbo Kid,6.8
Twinsters,7.4
Ultimate Justice,8.5
Uncaged,5.8
Uncanny,6.8
Uncle Nick,6.8
Undercover Hooligan,5.4
Underdog Kids,6.6
Unfinished Business,6.6
Unity,7.3
Unnatural,6.1
Until Forever,6.9
Urban Hymn,6.7
Vacation,6.8
Vaxxed: From Cover-Up to Catastrophe,4.1
Vice,6.6
Victor,6.4
Victor Frankenstein,6.4
Viking Legacy,4.8
Visions,7.2
Waffle Street,7.5
Wakefield,6.0
Walt Before Mickey,7.7
War Room,5.5
War on Everyone,5.3
Wasp,7.1
We Love You,8.8
Weaponized,6.3
Weiner,6.3
Welcome to Leith,7.6
When a Man Loves a Woman,8.9
When the Bough Breaks,6.0
Where to Invade Next,7.2
Whiskey Tango Foxtrot,6.3
Whitney Cummings: I'm Your Girlfriend,6.0
Wild Card,6.4
Winning: The Racing Life of Paul Newman,8.6
Within,6.6
Wolves at the Door,6.1
Woman in Gold,6.8
Woodlawn,7.7
World of Tomorrow,7.3
X: Past Is Present,6.7
XOXO,6.5
Yearning,8.1
Yosemite,6.6
Youth in Oregon,6.2
Zero Days,6.5
Zipper,6.6
Zoombies,6.0
#realityhigh,7.3
'Til Death Do Us Part,4.2
1 Mile To You,6.3
100 Streets,6.7
13 Hours: The Secret Soldiers of Benghazi,6.7
1922,6.4
20th Century Women,7.3
2307: Winter's Dream,7.3
24 Hours To Live,6.6
2:22,6.6
31,6.5
48 Hours to Live,6.1
55 Steps,7.6
6 Below: Miracle on the Mountain,8.8
68 Kill,3.6
78/52,6.5
9/11,5.7
A Bad Moms Christmas,5.5
A Beautiful Planet,8.3
A Crooked Somebody,6.9
A Date for Mad Mary,6.1
A Dog's Purpose,5.7
A Family Man,6.8
A Ghost Story,5.8
A Hologram for the King,6.6
A Kind of Murder,6.4
A Million Happy Nows,9.1
A Monster Calls,6.6
A Prayer Before Dawn,6.1
A Quiet Passion,8.1
A United Kingdom,7.3
A Very Merry Toy Store,8.8
A Very Sordid Wedding,7.4
Aaron's Blood,5.7
Abattoir,7.3
Acts of Vengeance,6.6
Adult Life Skills,7.2
Adventures in Public School,6.9
Against the Wild II: Survive the Serengeti,6.0
Albion: The Enchanted Stallion,7.1
Ali and Nino,7.0
Alice Through the Looking Glass,6.3
Alien Invasion: S.U.M.1,6.0
Alien: Covenant,6.3
Alien: Covenant - Prologue: Last Supper,6.4
Alienate,5.6
All About the Money,5.9
All Eyez on Me,6.5
All Girls Weekend,7.5
All I See Is You,7.3
All I Wish,8.3
All Summers End,6.7
All We Had,7.0
All the Money in the World,6.5
Allegiant,6.4
Alleycats,7.0
Allure,6.3
Almost Christmas,7.0
Alone in Berlin,6.4
Altamira,6.5
Always Shine,7.4
Amateur Night,6.4
American Assassin,6.7
American Made,6.3
American Pastoral,6.7
American Satan,7.0
American Violence,3.7
American Wrestler: The Wizard,7.7
Amityville: The Awakening,6.0
Amy Schumer: The Leather Special,7.6
An Inconvenient Sequel: Truth to Power,6.4
And Then I Go,6.9
Angela's Christmas,7.9
Animal Crackers,7.0
Anna and the Apocalypse,6.8
Annabelle: Creation,6.5
Another Mother's Son,7.1
Anthropoid,6.5
Antibirth,6.0
Approaching the Unknown,6.4
Army of One,5.9
Arrival,6.9
Arrowhead,6.4
As You Are,7.3
Assassin's Creed,6.4
Attack of the Adult Babies,4.7
Attack of the Killer Donuts,3.1
Autumn Lights,6.4
Aux,6.4
Avicii: True Stories,8.1
B&B,6.4
Bachelor Games,6.8
Backfire,6.3
Bad Day for the Cut,4.1
Bad Frank,4.9
Bad Kids of Crestview Academy,4.2
Bad Match,4.7
Bad Moms,5.1
Bad Santa 2,4.6
Ballerina,6.2
Band Aid,7.3
Bastille Day,6.2
Batman and Harley Quinn,6.4
Batman v Superman: Dawn of Justice,8.1
Battlecreek,6.5
Baywatch,7.5
Bazodee,7.1
Beast,6.2
Beatriz at Dinner,6.5
Becoming Bond,6.9
Before I Fall,6.6
Before I Wake,6.5
Before the Fall,6.5
Ben-Hur,6.8
Berlin Syndrome,6.2
Beta Test,6.5
Betsy,6.5
Better Watch Out,8.2
Beyond Skyline,6.8
Bill Burr: Walk Your Way Out,6.0
Billy Lynn's Long Halftime Walk,6.4
Birth of the Dragon,6.8
Bitter Harvest,4.6
Black Butterfly,6.7
Black Site Delta,6.5
Black Widows,6.4
Blade Runner 2049,7.0
Blair Witch,4.8
Blame,4.9
Bleed,7.0
Bleed for This,7.3
Blind,5.4
Blood Orange,6.1
Bloodlands,5.2
Bloodrunners,6.7
Bodied,6.4
Bokeh,6.4
Bomb City,4.6
Bombshell: The Hedy Lamarr Story,7.6
Bonded by Blood 2,6.0
Boo 2! A Madea Halloween,6.4
Boone: The Bounty Hunter,7.0
Boost,7.9
Bottom of the World,6.3
Boyka: Undisputed IV,6.4
Brad's Status,6.8
Brawl in Cell Block 99,5.2
Breaking Legs,6.7
Breath,7.3
Brian and Charles,7.6
Bridget Jones's Baby,6.8
Brigsby Bear,7.3
Brimstone,6.0
Bring It On: Worldwide #Cheersmack,6.7
Brother Nature,6.7
Brown Girl Begins,6.6
Bullet Head,6.1
Buster's Mal Heart,6.6
CHiPS,6.8
Cabin 28,6.3
Cabin Fever,6.2
Café Society,6.7
Can't Take It Back,6.0
Captain Underpants: The First Epic Movie,6.2
Cardboard Boxer,6.4
Cardboard Gangsters,6.8
Cargo,6.2
Carnage Park,6.7
Carnage: Swallowing the Past,6.0
Carrie Pilby,7.6
Cars 3,7.1
Casting JonBenet,6.8
Casual Encounters,7.2
Central Intelligence,8.1
Certain Women,7.9
Chalk It Up,6.4
Chappaquiddick,6.4
Chasing Coral,6.6
Chasing Trane,7.5
Child of Satan,4.5
Chosen,7.1
Christina P: Mother Inferior,4.4
Chronically Metropolitan,6.5
Chuck,7.2
Chupacabra Territory,5.2
Cielo,6.3
Circus Kane,5.4
City 40,7.1
City of Tiny Lights,8.0
Class Rank,7.3
ClownTown,5.6
Coco,6.6
Coin Heist,6.6
Cold Moon,6.3
Cold Skin,6.5
Collide,6.5
Columbus,7.4
Come Swim,7.2
Complete Unknown,6.3
Counter Clockwise,6.2
Counterpunch,7.1
Creep 2,6.5
Criminal,5.2
Crooked House,6.6
Crossing Point,6.9
Crown Heights,6.2
Cult of Chucky,6.8
Custody,7.1
Dad's Army,6.3
Daddy's Home 2,7.2
Damascus Cover,6.1
Dance Academy: The Movie,6.7
Daphne,6.7
Dark Crimes,5.9
Dark Signal,6.0
Darken,7.1
Dave Made a Maze,7.4
David Brent: Life on the Road,6.9
David Lynch: The Art Life,6.4
Day of the Dead: Bloodline,3.7
Daylight's End,6.0
Dayveon,6.1
DeKalb Elementary,6.8
Dead 7,5.1
Dead Awake,4.1
Dead Shack,4.5
Dead Story,4.9
Dead on Arrival,3.7
Deadly Detention,4.2
Deadly Exposé,8.2
Deadpool,7.0
Deadpool: No Good Deed,7.8
Dealt,6.4
Dean,7.3
Dear Basketball,8.5
Dear Dictator,7.8
Dear Eleanor,7.6
Death Fighter,5.5
Death House,4.1
Death Note,4.4
Death Race 2050,3.7
Decommissioned,5.9
Deep,6.7
Deepwater Horizon,6.5
Dementia 13,6.1
Denial,6.2
Despicable Me 3,6.6
Despite the Falling Snow,6.5
Detour,6.5
Detroit,6.4
Devil's Gate,4.5
Different Flowers,7.0
Director's Cut,5.7
Dirty Grandpa,5.2
Disobedience,6.6
Diverge,7.2
Don't Breathe,6.2
Don't Kill It,4.2
Donald Cried,6.1
Double Date,6.6
Down Under,6.7
Downrange,6.4
Downsizing,6.7
Drifter,7.3
Drone,7.3
Earth: One Amazing Day,8.1
Eat Locals,6.6
Eating Animals,7.0
Edge of Winter,6.6
El Camino Christmas,7.0
Eliminators,6.6
Elite,6.1
Elvis & Nixon,7.2
End of a Gun,4.4
England Is Mine,7.0
Entanglement,6.4
Equity,6.8
Eric Clapton: Life in 12 Bars,6.7
Escape Room,8.4
Ethel & Ernest,7.1
Everybody Wants Some!!,7.4
Everything Beautiful Is Far Away,8.7
Evil Bong 666,4.4
Fallen,6.6
Fantastic Beasts and Where to Find Them,8.5
Father Figures,6.7
Feed,6.3
Fences,7.0
Feral,6.7
Ferdinand,7.1
Fifty Shades Darker,6.9
Final Portrait,7.4
Finding Dory,6.6
Firebase,6.2
First Born,7.1
First Girl I Loved,8.4
First Kill,3.9
First Reformed,6.7
Fist Fight,5.4
Fittest on Earth: A Decade of Fitness,7.4
Five Minutes,3.8
Flatliners,6.4
Flock of Dudes,7.4
Florence Foster Jenkins,6.8
Four Christmases and a Wedding,7.8
Fractured,6.1
Freak Show,5.5
Free Fire,8.3
Fun Mom Dinner,8.1
Furthest Witness,6.6
Galaxy of Horrors,3.7
Game of Death,4.1
Gangster Land,6.9
Gemini,6.6
Generation Iron 2,6.9
Genius,6.4
Geostorm,6.1
Gerald's Game,6.2
Get Me Roger Stone,6.0
Get a Job,6.3
Ghost House,4.9
Ghost Stories,5.8
Ghost in the Shell,5.3
Gifted,8.4
Gilbert,7.0
Girls Trip,6.5
Goat,6.6
God's Own Country,8.0
Gods of Egypt,6.1
Gold,6.7
Good Kids,7.9
Good Time,8.2
Gook,6.7
Grain,6.7
Granny of the Dead,3.5
Grease Live,6.7
Grimsby,6.3
Groundhog,6.3
Gurrumul,7.5
Habit,6.7
Hacker,6.3
Hacksaw Ridge,7.0
Halloween Pussy Trap Kill! Kill!,2.2
Hampstead,7.5
Hands of Stone,8.3
Handsome: A Netflix Mystery Movie,8.2
Hangman,6.6
Happy Death Day,6.1
Hard Sell,6.6
Havenhurst,4.9
Hedgehog,6.6
Hell or High Water,4.7
Hello Again,6.8
Hello Destroyer,4.9
Here's the Plan,8.2
Hickey,6.9
Hickok,6.7
Hidden in the Woods,5.3
Holidays,7.4
Hollow Creek,7.0
Hollow in the Land,7.6
Home,6.6
Hostile,5.3
Hostiles,5.9
Hot Bot,6.5
Hotel of the Damned,4.2
Hounds of Love,8.3
House of Evil,3.3
House of Purgatory,5.8
Housewife,5.7
How to Be a Latin Lover,8.4
Human Flow,6.7
Human Traces,6.0
Hunter Gatherer,6.4
Hurricane Bianca,7.1
I Am Heath Ledger,7.6
I Am Jane Doe,6.2
I Am Not a Witch,6.0
I Am Sam Kinison,7.3
I Am Wrath,6.9
I Do... Until I Don't,7.0
I'm Not Here,7.2
I.T.,6.5
Ibiza Undead,5.3
Icarus,6.4
Ice Age: Collision Course,5.7
Ice Guardians,6.7
